regulatory	KO
Dapma7bEVm002710t1	K03833
Dapma7bEVm002236t1	K18660
Dapma7bEVm006966t1	K00142
Dapma7bEVm000851t1	K08578
Dapma7bEVm010465t1	
Dapma7bEVm004036t1	K25838
Dapma7bEVm000138t1	
Dapma7bEVm004158t1	K15001
Dapma7bEVm015414t1	K10694
Dapma7bEVm018496t1	K07380
Dapma7bEVm010470t1	
Dapma7bEVm008434t1	
Dapma7bEVm005446t1	K11140
Dapma7bEVm010615t1	
Dapma7bEVm028054t1	
Dapma7bEVm003999t1	K05129
Dapma7bEVm000501t1	
Dapma7bEVm018521t1	
Dapma7bEVm006197t1	
Dapma7bEVm005004t1	K26682
Dapma7bEVm001755t1	
Dapma7bEVm005287t1	K00810
Dapma7bEVm015247t1	K11204
Dapma7bEVm015382t1	K00731
Dapma7bEVm019817t1	
Dapma7bEVm002024t1	K23841
Dapma7bEVm004190t1	K04345
Dapma7bEVm005892t1	
Dapma7bEVm018511t1	K20777
Dapma7bEVm006086t1	
Dapma7bEVm005095t1	K13866
Dapma7bEVm004061t1	
Dapma7bEVm010369t1	K15191
Dapma7bEVm007659t1	K24632
Dapma7bEVm002771t1	
Dapma7bEVm028947t1	
Dapma7bEVm005967t1	
Dapma7bEVm017246t1	K02984
Dapma7bEVm020203t1	
Dapma7bEVm017934t1	
Dapma7bEVm010779t1	K02263
Dapma7bEVm003696t1	K01265
Dapma7bEVm001501t1	K26437
Dapma7bEVm001120t1	K09566
Dapma7bEVm002578t1	K01539
Dapma7bEVm010112t1	K12385
Dapma7bEVm001384t1	K26734
Dapma7bEVm000675t1	K18592
Dapma7bEVm003344t1	K00364
Dapma7bEVm004815t1	K17505
Dapma7bEVm027394t1	
Dapma7bEVm004345t1	K06961
Dapma7bEVm001810t1	
Dapma7bEVm007253t1	K01021
Dapma7bEVm004087t1	K03240
Dapma7bEVm010687t1	K12316
Dapma7bEVm005512t1	
Dapma7bEVm015155t1	K14206
Dapma7bEVm028363t1	
Dapma7bEVm009807t1	
Dapma7bEVm006177t1	
Dapma7bEVm004656t1	K15865
Dapma7bEVm009986t1	K23326
Dapma7bEVm003160t1	K24755
Dapma7bEVm000423t1	K26544
Dapma7bEVm002577t1	
Dapma7bEVm001851t1	K11142
Dapma7bEVm001854t1	K20216
Dapma7bEVm004849t1	
Dapma7bEVm010837t1	K13524
Dapma7bEVm009511t1	K10877
Dapma7bEVm002413t1	
Dapma7bEVm006209t1	K12736
Dapma7bEVm002574t1	
Dapma7bEVm003692t1	K15029
Dapma7bEVm002219t1	K08869
Dapma7bEVm007107t1	
Dapma7bEVm007890t1	
Dapma7bEVm006105t1	
Dapma7bEVm002134t1	K01530
Dapma7bEVm000618t1	
Dapma7bEVm011141t1	K26499
Dapma7bEVm009887t1	K23951
Dapma7bEVm004752t1	K11363
Dapma7bEVm004117t1	
Dapma7bEVm005970t1	K00718
Dapma7bEVm010715t1	K14445
Dapma7bEVm022903t1	
Dapma7bEVm006534t1	K11666
Dapma7bEVm010604t1	K06316
Dapma7bEVm002900t1	K01312
Dapma7bEVm000090t1	K14213
Dapma7bEVm010751t1	K06774
Dapma7bEVm028923t1	
Dapma7bEVm006643t1	
Dapma7bEVm003561t1	K20184
Dapma7bEVm002391t1	K23333
Dapma7bEVm009984t1	
Dapma7bEVm015144t1	K01179
Dapma7bEVm003856t1	K03120
Dapma7bEVm010127t1	K04458
Dapma7bEVm005526t1	
Dapma7bEVm008405t1	K07955
Dapma7bEVm006239t1	K01052
Dapma7bEVm010612t1	
Dapma7bEVm004828t1	K18420
Dapma7bEVm010233t1	
Dapma7bEVm006637t1	K10849
Dapma7bEVm004018t1	K11140
Dapma7bEVm003369t1	
Dapma7bEVm000718t1	K27289
Dapma7bEVm028508t1	
Dapma7bEVm003668t1	
Dapma7bEVm005626t1	K09506
Dapma7bEVm005205t1	K03136
Dapma7bEVm011559t1	
Dapma7bEVm005871t1	
Dapma7bEVm001996t1	K13703
Dapma7bEVm007643t1	K15135
Dapma7bEVm010316t1	K15033
Dapma7bEVm010430t1	K24419
Dapma7bEVm010879t1	K25070
Dapma7bEVm011553t1	
Dapma7bEVm014899t1	
Dapma7bEVm015420t1	
Dapma7bEVm028871t1	
Dapma7bEVm006265t1	K07189
Dapma7bEVm018941t1	
Dapma7bEVm023586t1	
Dapma7bEVm027453t1	
Dapma7bEVm011985t1	
Dapma7bEVm003653t1	K14843
Dapma7bEVm005277t1	
Dapma7bEVm003124t1	
Dapma7bEVm000472t1	K15719
Dapma7bEVm000046t1	
Dapma7bEVm000065t1	
Dapma7bEVm001746t1	K19513
Dapma7bEVm002366t1	
Dapma7bEVm000729t1	K14307
Dapma7bEVm023023t1	K14397
Dapma7bEVm027933t1	
Dapma7bEVm029037t1	
Dapma7bEVm001675t1	K26680
Dapma7bEVm003938t1	K03098
Dapma7bEVm002234t1	K24888
Dapma7bEVm007330t1	K14568
Dapma7bEVm003496t1	
Dapma7bEVm023347t1	
Dapma7bEVm005476t1	
Dapma7bEVm019364t1	K13676
Dapma7bEVm006054t1	K13814
Dapma7bEVm010415t1	K14846
Dapma7bEVm010070t1	
Dapma7bEVm007602t1	
Dapma7bEVm015951t1	
Dapma7bEVm015265t1	K10771
Dapma7bEVm023773t1	
Dapma7bEVm024426t1	
Dapma7bEVm010748t1	
Dapma7bEVm007507t1	
Dapma7bEVm006897t1	
Dapma7bEVm023995t1	
Dapma7bEVm001015t1	
Dapma7bEVm000846t1	K08838
Dapma7bEVm010807t1	
Dapma7bEVm008416t1	K10580
Dapma7bEVm004179t1	K08872
Dapma7bEVm003036t1	
Dapma7bEVm006072t1	
Dapma7bEVm003945t1	K10428
Dapma7bEVm008013t1	K24611
Dapma7bEVm003906t1	K01312
Dapma7bEVm009513t1	
Dapma7bEVm004470t1	K01025
Dapma7bEVm004858t1	
Dapma7bEVm000700t1	K14008
Dapma7bEVm027437t1	K01414
Dapma7bEVm027881t1	K00249
Dapma7bEVm016124t1	K03098
Dapma7bEVm012012t1	
Dapma7bEVm030559t1	
Dapma7bEVm030560t1	
Dapma7bEVm028441t1	
Dapma7bEVm012053t1	
Dapma7bEVm027650t1	
Dapma7bEVm004094t1	
Dapma7bEVm015511t1	
Dapma7bEVm016104t1	
Dapma7bEVm004512t1	
Dapma7bEVm011848t1	
Dapma7bEVm019120t1	
Dapma7bEVm019121t1	
Dapma7bEVm003069t1	K12835
Dapma7bEVm007213t1	
Dapma7bEVm003977t1	
Dapma7bEVm005814t1	
Dapma7bEVm004016t1	
Dapma7bEVm012039t1	
Dapma7bEVm006796t1	K14709
Dapma7bEVm007706t1	K21894
Dapma7bEVm000124t1	
Dapma7bEVm004278t1	
Dapma7bEVm005848t1	
Dapma7bEVm005276t1	
Dapma7bEVm027411t1	K12834
Dapma7bEVm024316t1	
Dapma7bEVm011843t1	K11253
Dapma7bEVm015620t1	K00002
Dapma7bEVm015700t1	
Dapma7bEVm015701t1	
Dapma7bEVm029561t1	K05673
Dapma7bEVm002542t1	
Dapma7bEVm000725t1	
Dapma7bEVm004286t1	K20477
Dapma7bEVm011464t1	K08155
Dapma7bEVm007748t1	
Dapma7bEVm011213t1	K19526
Dapma7bEVm010109t1	
Dapma7bEVm008045t1	K07916
Dapma7bEVm013035t1	
Dapma7bEVm003499t1	
Dapma7bEVm001508t1	
Dapma7bEVm010814t1	K25167
Dapma7bEVm010302t1	
Dapma7bEVm010498t1	
Dapma7bEVm004723t1	K12384
Dapma7bEVm012716t1	
Dapma7bEVm002600t1	K04610
Dapma7bEVm004263t1	
Dapma7bEVm015662t1	
Dapma7bEVm011237t1	K08104
Dapma7bEVm007029t1	K03036
Dapma7bEVm002592t1	
Dapma7bEVm027869t1	K01201
Dapma7bEVm001147t1	
Dapma7bEVm004269t1	
Dapma7bEVm000458t1	
Dapma7bEVm015165t1	
Dapma7bEVm012287t1	
Dapma7bEVm003598t1	K10350
Dapma7bEVm013857t1	
Dapma7bEVm027443t1	
Dapma7bEVm005450t1	K04429
Dapma7bEVm010085t1	
Dapma7bEVm011687t1	K03017
Dapma7bEVm001428t1	K14453
Dapma7bEVm029097t1	
Dapma7bEVm005444t1	K19511
Dapma7bEVm007247t1	K01183
Dapma7bEVm004392t1	
Dapma7bEVm002532t1	
Dapma7bEVm011386t1	
Dapma7bEVm011131t1	
Dapma7bEVm016332t1	K02906
Dapma7bEVm006386t1	
Dapma7bEVm008018t1	K23727
Dapma7bEVm000184t1	
Dapma7bEVm015264t1	
Dapma7bEVm010745t1	
Dapma7bEVm001537t1	K01179
Dapma7bEVm009884t1	K23034
Dapma7bEVm023359t1	K00736
Dapma7bEVm000684t1	K05679
Dapma7bEVm003687t1	K04468
Dapma7bEVm002112t1	K10799
Dapma7bEVm001217t1	
Dapma7bEVm002463t1	
Dapma7bEVm001472t1	K07763
Dapma7bEVm028006t1	
Dapma7bEVm006169t1	K06754
Dapma7bEVm004744t1	K01988
Dapma7bEVm023293t1	K16746
Dapma7bEVm005296t1	
Dapma7bEVm005438t1	
Dapma7bEVm016122t1	
Dapma7bEVm002034t1	
Dapma7bEVm024402t1	
Dapma7bEVm000713t1	K01581
Dapma7bEVm010446t1	
Dapma7bEVm009725t1	K10407
Dapma7bEVm002480t1	
Dapma7bEVm011628t1	K10343
Dapma7bEVm002287t1	K10416
Dapma7bEVm010500t1	K17419
Dapma7bEVm005846t1	
Dapma7bEVm023128t1	K18408
Dapma7bEVm004372t1	K06774
Dapma7bEVm000032t1	
Dapma7bEVm027508t1	
Dapma7bEVm004657t1	K15287
Dapma7bEVm022764t1	K08635
Dapma7bEVm009523t1	
Dapma7bEVm027907t1	
Dapma7bEVm010800t1	
Dapma7bEVm000454t1	K06583
Dapma7bEVm023163t1	K03245
Dapma7bEVm000128t1	
Dapma7bEVm003236t1	K04194
Dapma7bEVm004010t1	
Dapma7bEVm006730t1	
Dapma7bEVm001840t1	K02325
Dapma7bEVm027321t1	
Dapma7bEVm001978t1	
Dapma7bEVm028533t1	
Dapma7bEVm011078t1	K22647
Dapma7bEVm002052t1	
Dapma7bEVm004302t1	
Dapma7bEVm004925t1	K02880
Dapma7bEVm000379t1	K14708
Dapma7bEVm004068t1	K25388
Dapma7bEVm028539t1	K19511
Dapma7bEVm002319t1	K07509
Dapma7bEVm000517t1	K05038
Dapma7bEVm000150t1	K04437
Dapma7bEVm002999t1	K12396
Dapma7bEVm009649t1	
Dapma7bEVm001880t1	K15001
Dapma7bEVm002197t1	
Dapma7bEVm001043t1	K10610
Dapma7bEVm004920t1	
Dapma7bEVm000307t1	K14849
Dapma7bEVm009864t1	K00698
Dapma7bEVm015007t1	
Dapma7bEVm028504t1	
Dapma7bEVm015106t1	K26111
Dapma7bEVm028401t1	K04527
Dapma7bEVm002654t1	
Dapma7bEVm003300t1	K00162
Dapma7bEVm001993t1	
Dapma7bEVm000356t1	
Dapma7bEVm000300t1	K14318
Dapma7bEVm001392t1	
Dapma7bEVm003616t1	K14537
Dapma7bEVm005647t1	
Dapma7bEVm006754t1	K01793
Dapma7bEVm018459t1	
Dapma7bEVm003560t1	K17387
Dapma7bEVm009544t1	
Dapma7bEVm001412t1	K19511
Dapma7bEVm001976t1	
Dapma7bEVm010110t1	K19511
Dapma7bEVm003485t1	K04575
Dapma7bEVm002448t1	K08856
Dapma7bEVm002238t1	K24634
Dapma7bEVm007445t1	
Dapma7bEVm002649t1	K23218
Dapma7bEVm003721t1	K16610
Dapma7bEVm005251t1	K24633
Dapma7bEVm002419t1	K10761
Dapma7bEVm000297t1	K01414
Dapma7bEVm006179t1	
Dapma7bEVm010733t1	
Dapma7bEVm002384t1	K14480
Dapma7bEVm001824t1	K17542
Dapma7bEVm018649t1	K14168
Dapma7bEVm005836t1	K23915
Dapma7bEVm004072t1	
Dapma7bEVm000420t1	
Dapma7bEVm004614t1	
Dapma7bEVm010416t1	K00477
Dapma7bEVm006206t1	
Dapma7bEVm006134t1	
Dapma7bEVm005777t1	
Dapma7bEVm003702t1	K01832
Dapma7bEVm009946t1	K10358
Dapma7bEVm028424t1	K01310
Dapma7bEVm000333t1	K00504
Dapma7bEVm011816t1	K10308
Dapma7bEVm009519t1	
Dapma7bEVm006683t1	K24941
Dapma7bEVm005467t1	K14026
Dapma7bEVm000390t1	K01301
Dapma7bEVm010815t1	K19511
Dapma7bEVm002339t1	
Dapma7bEVm012025t1	
Dapma7bEVm000129t1	K24550
Dapma7bEVm000493t1	K00728
Dapma7bEVm010124t1	K12182
Dapma7bEVm027568t1	K00109
Dapma7bEVm008252t1	K03015
Dapma7bEVm002561t1	K01349
Dapma7bEVm006205t1	
Dapma7bEVm009705t1	K03164
Dapma7bEVm010818t1	
Dapma7bEVm001354t1	
Dapma7bEVm000108t1	K02154
Dapma7bEVm004602t1	K24023
Dapma7bEVm018691t1	K08794
Dapma7bEVm006978t1	
Dapma7bEVm022722t1	
Dapma7bEVm001072t1	
Dapma7bEVm000485t1	
Dapma7bEVm005643t1	K01047
Dapma7bEVm001705t1	
Dapma7bEVm009834t1	
Dapma7bEVm007808t1	K26207
Dapma7bEVm005873t1	K01194
Dapma7bEVm013667t1	K23222
Dapma7bEVm000499t1	
Dapma7bEVm001512t1	K21768
Dapma7bEVm011068t1	
Dapma7bEVm002962t1	
Dapma7bEVm006871t1	K20029
Dapma7bEVm013735t1	K26683
Dapma7bEVm005258t1	K00070
Dapma7bEVm023040t1	
Dapma7bEVm004663t1	K01904
Dapma7bEVm027985t1	
Dapma7bEVm005381t1	K18161
Dapma7bEVm015028t1	K14258
Dapma7bEVm006780t1	K14464
Dapma7bEVm003868t1	K06664
Dapma7bEVm000924t1	K18200
Dapma7bEVm007722t1	
Dapma7bEVm005235t1	
Dapma7bEVm007884t1	K02503
Dapma7bEVm002873t1	K12870
Dapma7bEVm004427t1	
Dapma7bEVm005954t1	K03142
Dapma7bEVm001890t1	K13780
Dapma7bEVm010629t1	
Dapma7bEVm008161t1	K12621
Dapma7bEVm006742t1	
Dapma7bEVm024018t1	
Dapma7bEVm011046t1	
Dapma7bEVm000179t1	
Dapma7bEVm000610t1	
Dapma7bEVm005562t1	
Dapma7bEVm004589t1	K10844
Dapma7bEVm007265t1	
Dapma7bEVm005811t1	K00264
Dapma7bEVm005073t1	
Dapma7bEVm007427t1	K01128
Dapma7bEVm029405t1	K25167
Dapma7bEVm003273t1	K12398
Dapma7bEVm023370t1	K11517
Dapma7bEVm027406t1	
Dapma7bEVm027324t1	
Dapma7bEVm005979t1	
Dapma7bEVm001476t1	
Dapma7bEVm000125t1	K11583
Dapma7bEVm015221t1	
Dapma7bEVm006914t1	K13176
Dapma7bEVm006316t1	
Dapma7bEVm007223t1	
Dapma7bEVm027860t1	
Dapma7bEVm002894t1	K14998
Dapma7bEVm003863t1	K10871
Dapma7bEVm007442t1	K01988
Dapma7bEVm005027t1	
Dapma7bEVm003832t1	K01374
Dapma7bEVm030561t1	
Dapma7bEVm005111t1	K14073
Dapma7bEVm015184t1	
Dapma7bEVm005610t1	
Dapma7bEVm016318t1	
Dapma7bEVm019362t1	K14464
Dapma7bEVm028349t1	
Dapma7bEVm005423t1	
Dapma7bEVm016224t1	
Dapma7bEVm028126t1	K25745
Dapma7bEVm006114t1	K07931
Dapma7bEVm010550t1	K07951
Dapma7bEVm016319t1	
Dapma7bEVm012568t1	K00134
Dapma7bEVm015978t1	
Dapma7bEVm003107t1	
Dapma7bEVm028159t1	
Dapma7bEVm023209t1	
Dapma7bEVm019276t1	
Dapma7bEVm015523t1	
Dapma7bEVm007668t1	K14686
Dapma7bEVm018568t1	
Dapma7bEVm006971t1	K03350
Dapma7bEVm001809t1	
Dapma7bEVm003464t1	
Dapma7bEVm004336t1	
Dapma7bEVm022989t1	K17286
Dapma7bEVm007876t1	K07897
Dapma7bEVm007064t1	
Dapma7bEVm005420t1	K11886
Dapma7bEVm001091t1	K26153
Dapma7bEVm000823t1	K17541
Dapma7bEVm001921t1	K02358
Dapma7bEVm004058t1	
Dapma7bEVm023922t1	
Dapma7bEVm003921t1	K03538
Dapma7bEVm003307t1	K00408
Dapma7bEVm010741t1	K26546
Dapma7bEVm019363t1	K14464
Dapma7bEVm010643t1	K22872
Dapma7bEVm029468t1	K23222
Dapma7bEVm027822t1	
Dapma7bEVm010878t1	
Dapma7bEVm018803t1	
Dapma7bEVm012006t1	K02880
Dapma7bEVm011994t1	K14753
Dapma7bEVm001431t1	K03253
Dapma7bEVm010436t1	K02896
Dapma7bEVm010280t1	
Dapma7bEVm027255t1	K22037
Dapma7bEVm001359t1	K08855
Dapma7bEVm010947t1	K09031
Dapma7bEVm002921t1	K04097
Dapma7bEVm028961t1	
Dapma7bEVm003131t1	K06515
Dapma7bEVm005824t1	
Dapma7bEVm000044t1	
Dapma7bEVm028456t1	
Dapma7bEVm002642t1	
Dapma7bEVm010349t1	
Dapma7bEVm001365t1	K20826
Dapma7bEVm022723t1	
Dapma7bEVm004023t1	
Dapma7bEVm027705t1	
Dapma7bEVm004814t1	K20803
Dapma7bEVm002671t1	K20683
Dapma7bEVm028392t1	K15293
Dapma7bEVm005749t1	K07252
Dapma7bEVm002601t1	
Dapma7bEVm003595t1	K17675
Dapma7bEVm001213t1	K26544
Dapma7bEVm003406t1	K02967
Dapma7bEVm011534t1	
Dapma7bEVm006448t1	
Dapma7bEVm024209t1	
Dapma7bEVm022762t1	
Dapma7bEVm023737t1	
Dapma7bEVm010523t1	
Dapma7bEVm023811t1	
Dapma7bEVm007406t1	
Dapma7bEVm024430t1	
Dapma7bEVm012395t1	K23025
Dapma7bEVm012001t1	K02987
Dapma7bEVm008101t1	
Dapma7bEVm009911t1	K01623
Dapma7bEVm029566t1	
Dapma7bEVm019734t1	
Dapma7bEVm006827t1	K25481
Dapma7bEVm005184t1	
Dapma7bEVm008173t1	K00731
Dapma7bEVm018594t1	
Dapma7bEVm003634t1	K20030
Dapma7bEVm000967t1	K10134
Dapma7bEVm000449t1	K16677
Dapma7bEVm007258t1	
Dapma7bEVm010332t1	K10408
Dapma7bEVm005392t1	
Dapma7bEVm002215t1	
Dapma7bEVm012739t1	K02953
Dapma7bEVm001458t1	K00710
Dapma7bEVm009468t1	K01539
Dapma7bEVm015343t1	K04079
Dapma7bEVm001835t1	K15027
Dapma7bEVm010448t1	K00826
Dapma7bEVm000455t1	K23294
Dapma7bEVm029177t1	K01640
Dapma7bEVm012041t1	K07843
Dapma7bEVm027875t1	K09288
Dapma7bEVm015337t1	
Dapma7bEVm001245t1	
Dapma7bEVm010350t1	
Dapma7bEVm004516t1	
Dapma7bEVm000028t1	K17700
Dapma7bEVm010457t1	K10951
Dapma7bEVm027262t1	
Dapma7bEVm001223t1	
Dapma7bEVm005267t1	K12602
Dapma7bEVm018799t1	
Dapma7bEVm002977t1	
Dapma7bEVm003787t1	
Dapma7bEVm001920t1	K10686
Dapma7bEVm017302t1	
Dapma7bEVm028736t1	
Dapma7bEVm005273t1	K05304
Dapma7bEVm004898t1	
Dapma7bEVm022693t1	
Dapma7bEVm018163t1	K02908
Dapma7bEVm004435t1	
Dapma7bEVm028987t1	
Dapma7bEVm018397t1	K12046
Dapma7bEVm010308t1	
Dapma7bEVm029457t1	
Dapma7bEVm000305t1	
Dapma7bEVm004824t1	K22037
Dapma7bEVm000123t1	
Dapma7bEVm000682t1	K01876
Dapma7bEVm004998t1	
Dapma7bEVm009814t1	
Dapma7bEVm009495t1	
Dapma7bEVm000037t1	K13208
Dapma7bEVm001157t1	K04348
Dapma7bEVm011090t1	K09550
Dapma7bEVm015479t1	
Dapma7bEVm011028t1	
Dapma7bEVm028644t1	K13704
Dapma7bEVm009910t1	K05397
Dapma7bEVm019192t1	
Dapma7bEVm011538t1	K14464
Dapma7bEVm006012t1	
Dapma7bEVm001942t1	K01052
Dapma7bEVm006004t1	K01672
Dapma7bEVm018878t1	
Dapma7bEVm019386t1	
Dapma7bEVm000536t1	K11090
Dapma7bEVm010191t1	K02877
Dapma7bEVm001659t1	
Dapma7bEVm007026t1	K24222
Dapma7bEVm009506t1	
Dapma7bEVm009457t1	
Dapma7bEVm011726t1	K01768
Dapma7bEVm009581t1	K08840
Dapma7bEVm006454t1	K21863
Dapma7bEVm007281t1	
Dapma7bEVm009941t1	
Dapma7bEVm018500t1	
Dapma7bEVm001504t1	
Dapma7bEVm010923t1	
Dapma7bEVm006939t1	K18633
Dapma7bEVm029422t1	
Dapma7bEVm002368t1	K01298
Dapma7bEVm000231t1	K18260
Dapma7bEVm004981t1	
Dapma7bEVm027927t1	
Dapma7bEVm010635t1	
Dapma7bEVm024398t1	
Dapma7bEVm010607t1	
Dapma7bEVm002635t1	
Dapma7bEVm000079t1	
Dapma7bEVm016106t1	
Dapma7bEVm008162t1	
Dapma7bEVm010596t1	K23677
Dapma7bEVm028486t1	K19511
Dapma7bEVm005337t1	K15078
Dapma7bEVm004379t1	
Dapma7bEVm006995t1	
Dapma7bEVm024291t1	
Dapma7bEVm001519t1	
Dapma7bEVm009868t1	K12830
Dapma7bEVm015266t1	K01540
Dapma7bEVm000746t1	K13644
Dapma7bEVm015056t1	K07374
Dapma7bEVm024247t1	
Dapma7bEVm010334t1	
Dapma7bEVm007126t1	
Dapma7bEVm011624t1	
Dapma7bEVm011321t1	
Dapma7bEVm004571t1	K11796
Dapma7bEVm000446t1	
Dapma7bEVm006291t1	
Dapma7bEVm003478t1	K14297
Dapma7bEVm010238t1	
Dapma7bEVm006048t1	
Dapma7bEVm000352t1	K07759
Dapma7bEVm009915t1	K25949
Dapma7bEVm003534t1	K26109
Dapma7bEVm004634t1	K17681
Dapma7bEVm010217t1	K05208
Dapma7bEVm011229t1	K16676
Dapma7bEVm000400t1	K00624
Dapma7bEVm027598t1	
Dapma7bEVm004294t1	K09512
Dapma7bEVm002988t1	
Dapma7bEVm010225t1	K25167
Dapma7bEVm011363t1	
Dapma7bEVm002766t1	K05038
Dapma7bEVm009741t1	
Dapma7bEVm011099t1	
Dapma7bEVm004014t1	K13144
Dapma7bEVm000741t1	
Dapma7bEVm027726t1	K10615
Dapma7bEVm002580t1	K14442
Dapma7bEVm000892t1	K25192
Dapma7bEVm027917t1	
Dapma7bEVm004141t1	
Dapma7bEVm010719t1	K11800
Dapma7bEVm007672t1	K06698
Dapma7bEVm003981t1	K11665
Dapma7bEVm009825t1	K14573
Dapma7bEVm015254t1	
Dapma7bEVm004258t1	
Dapma7bEVm003457t1	
Dapma7bEVm005028t1	
Dapma7bEVm006652t1	
Dapma7bEVm006650t1	K08065
Dapma7bEVm005043t1	
Dapma7bEVm015377t1	K04153
Dapma7bEVm004579t1	
Dapma7bEVm005120t1	K10571
Dapma7bEVm005204t1	
Dapma7bEVm004360t1	
Dapma7bEVm013648t1	
Dapma7bEVm011969t1	K17777
Dapma7bEVm011449t1	K01988
Dapma7bEVm012536t1	
Dapma7bEVm011368t1	K09366
Dapma7bEVm018650t1	K24778
Dapma7bEVm003504t1	K05236
Dapma7bEVm002751t1	K14620
Dapma7bEVm000890t1	K13754
Dapma7bEVm000626t1	K11430
Dapma7bEVm007443t1	
Dapma7bEVm003333t1	K07819
Dapma7bEVm010223t1	K15013
Dapma7bEVm000770t1	K06910
Dapma7bEVm005474t1	K06030
Dapma7bEVm000919t1	K24997
Dapma7bEVm006306t1	K24083
Dapma7bEVm001495t1	K03033
Dapma7bEVm003694t1	K20520
Dapma7bEVm003661t1	K14809
Dapma7bEVm012457t1	K15365
Dapma7bEVm011414t1	
Dapma7bEVm015040t1	K00311
Dapma7bEVm019454t1	
Dapma7bEVm011532t1	K01360
Dapma7bEVm007456t1	
Dapma7bEVm005319t1	
Dapma7bEVm004397t1	
Dapma7bEVm000679t1	
Dapma7bEVm006504t1	K12259
Dapma7bEVm010573t1	K14020
Dapma7bEVm010842t1	K14001
Dapma7bEVm010841t1	
Dapma7bEVm010816t1	K01880
Dapma7bEVm006700t1	
Dapma7bEVm003720t1	
Dapma7bEVm004963t1	K00621
Dapma7bEVm029400t1	
Dapma7bEVm027575t1	K19007
Dapma7bEVm003637t1	K16194
Dapma7bEVm007490t1	K06997
Dapma7bEVm004500t1	K14314
Dapma7bEVm007724t1	K16642
Dapma7bEVm007452t1	K09877
Dapma7bEVm010379t1	K14209
Dapma7bEVm002817t1	K23167
Dapma7bEVm003221t1	K26242
Dapma7bEVm027620t1	K10250
Dapma7bEVm001158t1	K09553
Dapma7bEVm001736t1	K01192
Dapma7bEVm008102t1	
Dapma7bEVm006595t1	
Dapma7bEVm011531t1	K24795
Dapma7bEVm002243t1	
Dapma7bEVm009176t1	
Dapma7bEVm002854t1	K24104
Dapma7bEVm005869t1	
Dapma7bEVm004941t1	K11188
Dapma7bEVm006496t1	K01052
Dapma7bEVm000331t1	K00731
Dapma7bEVm029635t1	
Dapma7bEVm002455t1	K06058
Dapma7bEVm006348t1	K00797
Dapma7bEVm005608t1	K16794
Dapma7bEVm009488t1	
Dapma7bEVm010122t1	K02355
Dapma7bEVm006018t1	
Dapma7bEVm005575t1	K17479
Dapma7bEVm004273t1	K23960
Dapma7bEVm006349t1	K00469
Dapma7bEVm010293t1	
Dapma7bEVm005542t1	K19176
Dapma7bEVm002741t1	
Dapma7bEVm005339t1	
Dapma7bEVm006002t1	K13164
Dapma7bEVm007622t1	K13523
Dapma7bEVm004900t1	K10319
Dapma7bEVm001613t1	
Dapma7bEVm002268t1	
Dapma7bEVm010712t1	K14445
Dapma7bEVm010647t1	
Dapma7bEVm007358t1	K04555
Dapma7bEVm023165t1	K10769
Dapma7bEVm007084t1	
Dapma7bEVm027852t1	
Dapma7bEVm007744t1	
Dapma7bEVm027357t1	
Dapma7bEVm022299t1	K20821
Dapma7bEVm004623t1	
Dapma7bEVm003472t1	
Dapma7bEVm010202t1	
Dapma7bEVm023921t1	K11187
Dapma7bEVm012650t1	K00419
Dapma7bEVm023322t1	K20347
Dapma7bEVm002504t1	K02732
Dapma7bEVm007314t1	K25817
Dapma7bEVm004147t1	K13783
Dapma7bEVm008226t1	K07950
Dapma7bEVm003719t1	K11650
Dapma7bEVm007083t1	
Dapma7bEVm002541t1	K20051
Dapma7bEVm005785t1	
Dapma7bEVm002104t1	
Dapma7bEVm002935t1	K02916
Dapma7bEVm018434t1	
Dapma7bEVm002423t1	
Dapma7bEVm002187t1	
Dapma7bEVm001571t1	
Dapma7bEVm012397t1	
Dapma7bEVm009892t1	K01296
Dapma7bEVm012002t1	K02866
Dapma7bEVm004317t1	
Dapma7bEVm007237t1	K08892
Dapma7bEVm004951t1	K11343
Dapma7bEVm011953t1	
Dapma7bEVm004146t1	
Dapma7bEVm006976t1	
Dapma7bEVm015536t1	
Dapma7bEVm011451t1	K01988
Dapma7bEVm011450t1	K01988
Dapma7bEVm012258t1	K02942
Dapma7bEVm011717t1	K02882
Dapma7bEVm012015t1	K05496
Dapma7bEVm028059t1	
Dapma7bEVm012014t1	K11490
Dapma7bEVm015540t1	K11988
Dapma7bEVm012908t1	
Dapma7bEVm009869t1	
Dapma7bEVm010325t1	
Dapma7bEVm004903t1	K03249
Dapma7bEVm027812t1	K23909
Dapma7bEVm015021t1	
Dapma7bEVm010263t1	K11366
Dapma7bEVm004142t1	K18592
Dapma7bEVm005139t1	K04688
Dapma7bEVm004631t1	
Dapma7bEVm005035t1	K00021
Dapma7bEVm000841t1	
Dapma7bEVm013998t1	K03257
Dapma7bEVm027837t1	K13698
Dapma7bEVm001935t1	K10280
Dapma7bEVm000094t1	
Dapma7bEVm001444t1	K13886
Dapma7bEVm008636t1	K25550
Dapma7bEVm008017t1	K18342
Dapma7bEVm001777t1	K04373
Dapma7bEVm004313t1	K01619
Dapma7bEVm003748t1	K03132
Dapma7bEVm014133t1	
Dapma7bEVm003455t1	
Dapma7bEVm027706t1	K00019
Dapma7bEVm015307t1	
