,Daphnia_magna,Drosophilia_melanogaster,Homo_sapiens,Daphnia_pulex
7078,Dapma7bEVm003286,FBgn0003978,WDR77,DAPPUDRAFT_303116
7079,Dapma7bEVm015297,,,DAPPUDRAFT_109234;DAPPUDRAFT_307488
7080,Dapma7bEVm005238,FBgn0031036,BRMS1;BRMS1L;SUDS3,DAPPUDRAFT_192619
7081,Dapma7bEVm009774,FBgn0035044;FBgn0039850,ISOC1;ISOC2,DAPPUDRAFT_301440;DAPPUDRAFT_52222
7082,Dapma7bEVm001396,,CTBS,DAPPUDRAFT_194610
7083,Dapma7bEVm027724,,,DAPPUDRAFT_16207;DAPPUDRAFT_313380;DAPPUDRAFT_324271;DAPPUDRAFT_331334;DAPPUDRAFT_336468
7084,Dapma7bEVm015285,,KDM4A;KDM4B;KDM4C;KDM4D;KDM4E,DAPPUDRAFT_48413
7085,Dapma7bEVm011271,,F11;KLKB1,DAPPUDRAFT_315892
7086,Dapma7bEVm023421,FBgn0267821,TCF12;TCF3;TCF4,DAPPUDRAFT_299735
7087,Dapma7bEVm011729,,ANKK1;RIPK4;dik,
7088,Dapma7bEVm003310,FBgn0030956;FBgn0030959,DKFZp434G0310;POLDIP3,DAPPUDRAFT_221355
7089,Dapma7bEVm019482,FBgn0020640;FBgn0020641;FBgn0020642;FBgn0020643;FBgn0020644;FBgn0020645;FBgn0020765;FBgn0042118;FBgn0042119;FBgn0052404;FBgn0052405;FBgn0086900,,DAPPUDRAFT_318019;DAPPUDRAFT_318021
7090,Dapma7bEVm000159,FBgn0012037;FBgn0016122;FBgn0032535;FBgn0032536;FBgn0033366;FBgn0035076,ACE;ACE2;BMX,DAPPUDRAFT_243454;DAPPUDRAFT_304127;DAPPUDRAFT_306022;DAPPUDRAFT_307230;DAPPUDRAFT_307838;DAPPUDRAFT_307858;DAPPUDRAFT_65345
7091,Dapma7bEVm006789,,SKP2,DAPPUDRAFT_39705
7092,Dapma7bEVm018465,FBgn0004379;FBgn0038205,KIF18A;KIF18B,DAPPUDRAFT_129226
7093,Dapma7bEVm015018,FBgn0036617;FBgn0036618,,DAPPUDRAFT_246873
7094,Dapma7bEVm017998,,,
7095,Dapma7bEVm005020,,CDY2A;CDY2B;CDYL;CDYL2;ECI2,DAPPUDRAFT_272994;DAPPUDRAFT_315984
7096,Dapma7bEVm003211,FBgn0053181,SLC41A1;SLC41A2;SLC41A3,DAPPUDRAFT_302359
7097,Dapma7bEVm006137,,FUOM,DAPPUDRAFT_266279
7098,Dapma7bEVm028398,FBgn0037939;FBgn0285954,EWSR1;FUS;TAF15,DAPPUDRAFT_238350
7099,Dapma7bEVm002177,FBgn0003285;FBgn0028369,KIRREL1;KIRREL2;KIRREL3;NPHS1,DAPPUDRAFT_245437
7100,Dapma7bEVm011064,FBgn0027657,GLNE1;HBM;PRCD,
7101,Dapma7bEVm004143,,ANKRD27,DAPPUDRAFT_14628;DAPPUDRAFT_15719;DAPPUDRAFT_16300;DAPPUDRAFT_34217;DAPPUDRAFT_36183
7102,Dapma7bEVm028601,,,DAPPUDRAFT_101112;DAPPUDRAFT_101116;DAPPUDRAFT_101118;DAPPUDRAFT_101120;DAPPUDRAFT_101128;DAPPUDRAFT_101171;DAPPUDRAFT_109031;DAPPUDRAFT_223609;DAPPUDRAFT_240741;DAPPUDRAFT_240748;DAPPUDRAFT_240755;DAPPUDRAFT_316295;DAPPUDRAFT_316296;DAPPUDRAFT_316299
7103,Dapma7bEVm011465,,,
7104,Dapma7bEVm027511,,,
7105,Dapma7bEVm006142,FBgn0035692,SF3B6,DAPPUDRAFT_230136
7106,Dapma7bEVm020152,,,
7107,Dapma7bEVm012070,,,
7108,Dapma7bEVm007450,,,
7109,Dapma7bEVm002213,,CLASRP,DAPPUDRAFT_60693
7110,Dapma7bEVm021932,FBgn0031913;FBgn0031914;FBgn0032783;FBgn0032785,CLVS1;CLVS2;RLBP1;TTPA;TTPAL,DAPPUDRAFT_215219;DAPPUDRAFT_307423;DAPPUDRAFT_323284;DAPPUDRAFT_323285;DAPPUDRAFT_64016
7111,Dapma7bEVm022159,,,
7112,Dapma7bEVm026468,,,
7113,Dapma7bEVm004434,FBgn0034543;FBgn0036107,FAM96A;FAM96B,DAPPUDRAFT_17778;DAPPUDRAFT_302018;DAPPUDRAFT_325357;DAPPUDRAFT_69212;DAPPUDRAFT_72535;DAPPUDRAFT_7259
7114,Dapma7bEVm019861,,,
7115,Dapma7bEVm014666,,,
7116,Dapma7bEVm009003,,,
7117,Dapma7bEVm026916,,,
7118,Dapma7bEVm026160,,,
7119,Dapma7bEVm015353,FBgn0022359;FBgn0024289;FBgn0270925,SORD,DAPPUDRAFT_303131
7120,Dapma7bEVm005194,,C19orf71;MFSD12,DAPPUDRAFT_319148
7121,Dapma7bEVm009280,,,
7122,Dapma7bEVm014210,,,
7123,Dapma7bEVm011659,FBgn0037341,PLPP4;PLPP5,DAPPUDRAFT_216951
7124,Dapma7bEVm009387,,,
7125,Dapma7bEVm006303,,MDM2;MDM4;mdm2,DAPPUDRAFT_252193
7126,Dapma7bEVm014106,,,
7127,Dapma7bEVm012723,,,
7128,Dapma7bEVm006611,,,DAPPUDRAFT_258324;DAPPUDRAFT_272076
7129,Dapma7bEVm011942,,GPX1;GPX2;GPX3;GPX4;GPX5;GPX6;GPX7;GPX8;HEL-S-75p,DAPPUDRAFT_218103;DAPPUDRAFT_270542
7130,Dapma7bEVm018746,,,DAPPUDRAFT_316258
7131,Dapma7bEVm013681,,,
7132,Dapma7bEVm016274,,,
7133,Dapma7bEVm013410,,,
7134,Dapma7bEVm007328,FBgn0039558,BCAS2,
7135,Dapma7bEVm025933,,,
7136,Dapma7bEVm009237,,,
7137,Dapma7bEVm028141,,TMEM145,
7138,Dapma7bEVm014656,,,
7139,Dapma7bEVm005685,,PHYH,DAPPUDRAFT_188919;DAPPUDRAFT_316382
7140,Dapma7bEVm011807,FBgn0036580,PDCD5,DAPPUDRAFT_208840
7141,Dapma7bEVm025451,,,
7142,Dapma7bEVm007974,,,
7143,Dapma7bEVm008899,,,
7144,Dapma7bEVm007556,,,DAPPUDRAFT_318572
7145,Dapma7bEVm025614,,,
7146,Dapma7bEVm015760,,,
7147,Dapma7bEVm008827,,,
7148,Dapma7bEVm000993,FBgn0031662,,DAPPUDRAFT_31031
7149,Dapma7bEVm013675,,,
7150,Dapma7bEVm021443,,,
7151,Dapma7bEVm022069,,,
7152,Dapma7bEVm022241,,,
7153,Dapma7bEVm026370,,,
7154,Dapma7bEVm014484,,,
7155,Dapma7bEVm025390,,,
7156,Dapma7bEVm007560,FBgn0044030,MRPS14,DAPPUDRAFT_230537
7157,Dapma7bEVm009406,,,
7158,Dapma7bEVm026709,,,
7159,Dapma7bEVm016061,,,
7160,Dapma7bEVm020530,,,
7161,Dapma7bEVm025915,,,
7162,Dapma7bEVm026775,,,
7163,Dapma7bEVm021626,,LOC102723407;LOC102724971,
7164,Dapma7bEVm025131,,,
7165,Dapma7bEVm015679,FBgn0037280,BBS5,DAPPUDRAFT_327755
7166,Dapma7bEVm013923,,,
7167,Dapma7bEVm026596,,,
7168,Dapma7bEVm025353,,,
7169,Dapma7bEVm026674,,,
7170,Dapma7bEVm013995,,,
7171,Dapma7bEVm027056,,,
7172,Dapma7bEVm016831,,,
7173,Dapma7bEVm016267,,,
7174,Dapma7bEVm025885,,,
7175,Dapma7bEVm009416,,,
7176,Dapma7bEVm025084,,,
7177,Dapma7bEVm025092,,,
7178,Dapma7bEVm024964,,,
7179,Dapma7bEVm014338,,,
7180,Dapma7bEVm015931,,,
7181,Dapma7bEVm023071,,,
7182,Dapma7bEVm025733,,,DAPPUDRAFT_28709;DAPPUDRAFT_67166
7183,Dapma7bEVm017145,,,
7184,Dapma7bEVm008300,,,
7185,Dapma7bEVm026331,,,
7186,Dapma7bEVm013960,,,
7187,Dapma7bEVm025564,,,
7188,Dapma7bEVm016588,,,
7189,Dapma7bEVm025144,,,
7190,Dapma7bEVm025243,,,
7191,Dapma7bEVm012679,,,
7192,Dapma7bEVm025888,,,
7193,Dapma7bEVm007881,,,
7194,Dapma7bEVm011182,,,
7195,Dapma7bEVm013463,,,
7196,Dapma7bEVm026976,,,
7197,Dapma7bEVm006689,,,
7198,Dapma7bEVm016795,,,
7199,Dapma7bEVm018939,,,
7200,Dapma7bEVm025882,,,
7201,Dapma7bEVm010876,FBgn0004907;FBgn0020238,HEL-S-1;HEL2;SFN;YWHAB;YWHAE;YWHAG;YWHAH;YWHAQ;YWHAZ,DAPPUDRAFT_326737
7202,Dapma7bEVm017150,,,
7203,Dapma7bEVm015987,,,
7204,Dapma7bEVm001535,,DKFZp686J2031;DUSP11;RNGTT,DAPPUDRAFT_326892
7205,Dapma7bEVm004486,,,
7206,Dapma7bEVm025903,,,
7207,Dapma7bEVm025249,,,
7208,Dapma7bEVm011397,,,
7209,Dapma7bEVm027001,,,
7210,Dapma7bEVm025120,,,
7211,Dapma7bEVm002950,,,DAPPUDRAFT_223256
7212,Dapma7bEVm025596,,,
7213,Dapma7bEVm025072,,,
7214,Dapma7bEVm008490,,,
7215,Dapma7bEVm014895,,,
7216,Dapma7bEVm006934,,,DAPPUDRAFT_218645
7217,Dapma7bEVm026064,,,
7218,Dapma7bEVm025204,,,
7219,Dapma7bEVm025824,,,
7220,Dapma7bEVm010763,FBgn0032820,FBP1;FBP2,DAPPUDRAFT_227042
7221,Dapma7bEVm025894,,,
7222,Dapma7bEVm014586,FBgn0053977,DPM3,DAPPUDRAFT_128218
7223,Dapma7bEVm003257,FBgn0027055,COPS3,DAPPUDRAFT_300956
7224,Dapma7bEVm008974,,,
7225,Dapma7bEVm011197,,,
7226,Dapma7bEVm025379,,,
7227,Dapma7bEVm014049,,,
7228,Dapma7bEVm026770,,,
7229,Dapma7bEVm025592,,,
7230,Dapma7bEVm025110,,,
7231,Dapma7bEVm012688,,,
7232,Dapma7bEVm011876,,,
7233,Dapma7bEVm024795,,,
7234,Dapma7bEVm015672,FBgn0027339;FBgn0028878;FBgn0052772,COMMD5;DKFZp434G1621;DKFZp434K202;DKFZp434L2027;DKFZp666E157;DKFZp666M044;DKFZp686G24119;DKFZp686L0787;DKFZp686M1631;DKFZp686O111;E4F1;FIZ1;FLJ23436;FLJ32130;FLJ37549;FP972;GLI4;GZF1;HEL-179;HEL-203;HEL104;HKR1;LOC101928592;LOC105372319;LOC107984126;LOC107984139;LOC112268403;LOC125893;LOC126295;LOC155054;LOC163131;MAZ;MGC13138;MGC2474;MYNN;MZF1;Nbla00121;PATZ1;PEG3;PRDM11;PRDM15;PRDM5;PRDM7;PRDM9;RBAK;REPIN1;RhitH;ZBTB11;ZBTB16;ZBTB17;ZBTB24;ZBTB32;ZBTB40;ZBTB41;ZBTB48;ZBTB49;ZFAT;ZFP1;ZFP112;ZFP14;ZFP2;ZFP28;ZFP3;ZFP30;ZFP37;ZFP41;ZFP57;ZFP62;ZFP69;ZFP69B;ZFP82;ZFP90;ZFP92;ZIK1;ZIM2;ZIM3;ZKSCAN1;ZKSCAN2;ZKSCAN5;ZKSCAN7;ZKSCAN8;ZNF10;ZNF100;ZNF101;ZNF107;ZNF112;ZNF114;ZNF117;ZNF12;ZNF121;ZNF124;ZNF132;ZNF133;ZNF134;ZNF135;ZNF136;ZNF138;ZNF14;ZNF140;ZNF141;ZNF142;ZNF146;ZNF154;ZNF155;ZNF157;ZNF16;ZNF160;ZNF165;ZNF167;ZNF169;ZNF17;ZNF174;ZNF175;ZNF177;ZNF18;ZNF180;ZNF181;ZNF182;ZNF184;ZNF189;ZNF19;ZNF192;ZNF193;ZNF195;ZNF197;ZNF2;ZNF20;ZNF200;ZNF202;ZNF205;ZNF208;ZNF211;ZNF212;ZNF213;ZNF214;ZNF215;ZNF22;ZNF221;ZNF222;ZNF223;ZNF224;ZNF225;ZNF226;ZNF227;ZNF229;ZNF23;ZNF230;ZNF232;ZNF233;ZNF234;ZNF235;ZNF236;ZNF239;ZNF24;ZNF248;ZNF25;ZNF250;ZNF251;ZNF253;ZNF254;ZNF256;ZNF257;ZNF26;ZNF260;ZNF263;ZNF264;ZNF266;ZNF267;ZNF268;ZNF273;ZNF274;ZNF275;ZNF278;ZNF28;ZNF282;ZNF283;ZNF284;ZNF285;ZNF285A;ZNF286A;ZNF286B;ZNF287;ZNF296;ZNF3;ZNF30;ZNF300;ZNF302;ZNF304;ZNF311;ZNF316;ZNF317;ZNF319;ZNF32;ZNF320;ZNF322;ZNF322A;ZNF323;ZNF324;ZNF324B;ZNF329;ZNF331;ZNF333;ZNF334;ZNF335;ZNF337;ZNF33A;ZNF33B;ZNF34;ZNF341;ZNF343;ZNF345;ZNF347;ZNF35;ZNF350;ZNF354A;ZNF354B;ZNF354C;ZNF358;ZNF37A;ZNF382;ZNF383;ZNF391;ZNF394;ZNF396;ZNF397;ZNF398;ZNF404;ZNF407;ZNF408;ZNF41;ZNF415;ZNF416;ZNF417;ZNF418;ZNF419;ZNF42;ZNF420;ZNF425;ZNF426;ZNF429;ZNF43;ZNF430;ZNF431;ZNF432;ZNF433;ZNF436;ZNF439;ZNF44;ZNF440;ZNF441;ZNF442;ZNF443;ZNF445;ZNF446;ZNF447;ZNF449;ZNF45;ZNF454;ZNF460;ZNF461;ZNF467;ZNF468;ZNF470;ZNF471;ZNF473;ZNF479;ZNF48;ZNF480;ZNF483;ZNF484;ZNF485;ZNF486;ZNF490;ZNF491;ZNF492;ZNF493;ZNF496;ZNF497;ZNF500;ZNF501;ZNF502;ZNF506;ZNF510;ZNF514;ZNF517;ZNF519;ZNF525;ZNF526;ZNF527;ZNF528;ZNF529;ZNF530;ZNF534;ZNF540;ZNF543;ZNF544;ZNF546;ZNF547;ZNF548;ZNF549;ZNF550;ZNF551;ZNF552;ZNF554;ZNF555;ZNF556;ZNF557;ZNF558;ZNF559;ZNF559-ZNF177;ZNF560;ZNF561;ZNF562;ZNF563;ZNF564;ZNF565;ZNF566;ZNF567;ZNF568;ZNF569;ZNF57;ZNF570;ZNF571;ZNF572;ZNF573;ZNF574;ZNF577;ZNF578;ZNF579;ZNF582;ZNF583;ZNF584;ZNF585A;ZNF585B;ZNF586;ZNF587;ZNF587B;ZNF588;ZNF589;ZNF594;ZNF595;ZNF596;ZNF597;ZNF599;ZNF600;ZNF605;ZNF606;ZNF607;ZNF610;ZNF611;ZNF613;ZNF614;ZNF615;ZNF616;ZNF619;ZNF620;ZNF621;ZNF623;ZNF624;ZNF625;ZNF626;ZNF627;ZNF628;ZNF629;ZNF630;ZNF641;ZNF643;ZNF646;ZNF648;ZNF649;ZNF655;ZNF658;ZNF66;ZNF660;ZNF662;ZNF664;ZNF665;ZNF667;ZNF668;ZNF669;ZNF670;ZNF671;ZNF672;ZNF674;ZNF675;ZNF677;ZNF678;ZNF679;ZNF680;ZNF681;ZNF682;ZNF684;ZNF688;ZNF689;ZNF69;ZNF691;ZNF695;ZNF696;ZNF697;ZNF699;ZNF7;ZNF70;ZNF700;ZNF701;ZNF705A;ZNF705B;ZNF705D;ZNF705E;ZNF705G;ZNF707;ZNF708;ZNF709;ZNF71;ZNF713;ZNF716;ZNF717;ZNF718;ZNF721;ZNF723;ZNF724;ZNF726;ZNF727;ZNF728;ZNF729;ZNF730;ZNF732;ZNF735;ZNF736;ZNF737;ZNF738;ZNF74;ZNF746;ZNF747;ZNF749;ZNF761;ZNF763;ZNF764;ZNF765;ZNF766;ZNF768;ZNF77;ZNF770;ZNF771;ZNF772;ZNF773;ZNF774;ZNF775;ZNF776;ZNF777;ZNF778;ZNF780A;ZNF780B;ZNF781;ZNF782;ZNF783;ZNF784;ZNF785;ZNF786;ZNF787;ZNF788;ZNF788P;ZNF789;ZNF79;ZNF790;ZNF791;ZNF792;ZNF793;ZNF799;ZNF8;ZNF80;ZNF805;ZNF806;ZNF808;ZNF81;ZNF813;ZNF814;ZNF816;ZNF823;ZNF829;ZNF83;ZNF835;ZNF836;ZNF837;ZNF84;ZNF841;ZNF844;ZNF845;ZNF846;ZNF85;ZNF850;ZNF852;ZNF853;ZNF860;ZNF865;ZNF878;ZNF879;ZNF880;ZNF883;ZNF888;ZNF891;ZNF90;ZNF91;ZNF92;ZNF93;ZNF98;ZNF99;ZSCAN1;ZSCAN10;ZSCAN12;ZSCAN16;ZSCAN18;ZSCAN2;ZSCAN20;ZSCAN21;ZSCAN22;ZSCAN23;ZSCAN25;ZSCAN26;ZSCAN29;ZSCAN30;ZSCAN31;ZSCAN32;ZSCAN9,DAPPUDRAFT_44467
7235,Dapma7bEVm006150,,,DAPPUDRAFT_239483
7236,Dapma7bEVm013563,,,
7237,Dapma7bEVm009784,,,DAPPUDRAFT_98603
7238,Dapma7bEVm008139,,,
7239,Dapma7bEVm025402,,,
7240,Dapma7bEVm014468,,,
7241,Dapma7bEVm009938,FBgn0033570,NDUFA6,DAPPUDRAFT_231213
7242,Dapma7bEVm013173,,,
7243,Dapma7bEVm024709,,,
7244,Dapma7bEVm014102,,,
7245,Dapma7bEVm026188,,,
7246,Dapma7bEVm024973,,,
7247,Dapma7bEVm024689,,,
7248,Dapma7bEVm016806,,,
7249,Dapma7bEVm018888,FBgn0035031,CD302;LY75;MRC1;MRC2;PLA2R1,
7250,Dapma7bEVm024698,,,
7251,Dapma7bEVm009107,FBgn0040890,TMEM167A,DAPPUDRAFT_61481
7252,Dapma7bEVm024716,,,
7253,Dapma7bEVm025148,,,
7254,Dapma7bEVm025774,,,
7255,Dapma7bEVm019022,,,
7256,Dapma7bEVm015997,,,
7257,Dapma7bEVm024684,,,
7258,Dapma7bEVm026446,,,
7259,Dapma7bEVm020973,,,
7260,Dapma7bEVm024888,,,
7261,Dapma7bEVm017791,FBgn0261608,RPL37A,DAPPUDRAFT_230286
7262,Dapma7bEVm014008,,,
7263,Dapma7bEVm025010,,,
7264,Dapma7bEVm024977,,,
7265,Dapma7bEVm020930,,,
7266,Dapma7bEVm006117,FBgn0036101;FBgn0036822;FBgn0038079,NINJ1;NINJ2,DAPPUDRAFT_303404
7267,Dapma7bEVm027139,,,
7268,Dapma7bEVm026516,,,
7269,Dapma7bEVm021519,FBgn0000566,CTH,
7270,Dapma7bEVm025815,,,
7271,Dapma7bEVm018871,,,
7272,Dapma7bEVm021968,,,
7273,Dapma7bEVm025908,,,
7274,Dapma7bEVm024970,,,
7275,Dapma7bEVm026978,,,
7276,Dapma7bEVm024998,,,
7277,Dapma7bEVm013100,,,
7278,Dapma7bEVm021648,,,
7279,Dapma7bEVm025146,,,
7280,Dapma7bEVm025382,,,
7281,Dapma7bEVm016084,,,
7282,Dapma7bEVm020460,,A2M;A2ML1;C4A;C4B;C4B_2;C5;CD109;CPAMD8;LOC110384692;PZP,
7283,Dapma7bEVm016571,,,
7284,Dapma7bEVm020809,,,
7285,Dapma7bEVm025456,,,
7286,Dapma7bEVm008696,,,
7287,Dapma7bEVm010165,,ZC3HC1,DAPPUDRAFT_307768
7288,Dapma7bEVm024955,,,
7289,Dapma7bEVm024678,,,
7290,Dapma7bEVm016197,,,
7291,Dapma7bEVm021305,,,
7292,Dapma7bEVm024756,,,
7293,Dapma7bEVm016572,,,
7294,Dapma7bEVm025426,,,
7295,Dapma7bEVm026218,,,
7296,Dapma7bEVm013201,,,
7297,Dapma7bEVm018836,,,
7298,Dapma7bEVm025590,,,
7299,Dapma7bEVm021603,,,
7300,Dapma7bEVm018852,FBgn0034622,B1;BBS9,DAPPUDRAFT_97873;DAPPUDRAFT_97874
7301,Dapma7bEVm004762,FBgn0034035,GMPPA;GMPPB,DAPPUDRAFT_191301
7302,Dapma7bEVm029079,,,
7303,Dapma7bEVm000646,,DKFZp686P15123;IPP;IVNS1ABP;KEAP1;KLHL1;KLHL12;KLHL17;KLHL18;KLHL20;KLHL25;KLHL28;KLHL4;KLHL5;KLHL7;KLHL8,DAPPUDRAFT_300096
7304,Dapma7bEVm015887,,,
7305,Dapma7bEVm029498,,,
7306,Dapma7bEVm009455,,ASGR1;ASGR2;CLEC10A;HBXBP,DAPPUDRAFT_305446
7307,Dapma7bEVm005918,FBgn0038984,ADIPOR1;ADIPOR2,DAPPUDRAFT_116103;DAPPUDRAFT_52013
7308,Dapma7bEVm027162,,,
7309,Dapma7bEVm025349,,,
7310,Dapma7bEVm011348,,,
7311,Dapma7bEVm008092,FBgn0030676;FBgn0030679,DNLZ,
7312,Dapma7bEVm011004,,,
7313,Dapma7bEVm003822,FBgn0052528,PARVA;PARVB;PARVG,DAPPUDRAFT_39424
7314,Dapma7bEVm018569,,,
7315,Dapma7bEVm006792,,,DAPPUDRAFT_102748
7316,Dapma7bEVm006521,,,DAPPUDRAFT_109139;DAPPUDRAFT_38036
7317,Dapma7bEVm008976,,,
7318,Dapma7bEVm005896,FBgn0031227,PUS10,DAPPUDRAFT_324687
7319,Dapma7bEVm028830,,,
7320,Dapma7bEVm030385,,,
7321,Dapma7bEVm011102,,,
7322,Dapma7bEVm028094,,F11;KLKB1,
7323,Dapma7bEVm013825,,,DAPPUDRAFT_311360
7324,Dapma7bEVm018695,,,
7325,Dapma7bEVm014100,,,
7326,Dapma7bEVm028106,FBgn0261278,CHEK1,DAPPUDRAFT_43327
7327,Dapma7bEVm006777,FBgn0034521,MGAT1;POMGNT1,DAPPUDRAFT_194495
7328,Dapma7bEVm026921,,,
7329,Dapma7bEVm001654,,,DAPPUDRAFT_220196
7330,Dapma7bEVm018958,FBgn0030574,SLC7A13;SLC7A9,
7331,Dapma7bEVm029750,,,
7332,Dapma7bEVm008634,,,
7333,Dapma7bEVm008811,FBgn0034662,,DAPPUDRAFT_302821
7334,Dapma7bEVm027638,,,
7335,Dapma7bEVm010097,FBgn0019624,COX5A,DAPPUDRAFT_55751
7336,Dapma7bEVm007061,FBgn0027843;FBgn0027844;FBgn0037788;FBgn0038956;FBgn0039235;FBgn0039486;FBgn0039838;FBgn0040628;FBgn0040629,CA13;CA2;CA3;CA5A;CA5B;CA7;CA8;HEL-76;HEL-S-167mP,DAPPUDRAFT_442467;DAPPUDRAFT_442471;DAPPUDRAFT_442472;DAPPUDRAFT_442475;DAPPUDRAFT_442477;DAPPUDRAFT_442478;DAPPUDRAFT_442480;DAPPUDRAFT_442481;DAPPUDRAFT_442483;DAPPUDRAFT_442485;DAPPUDRAFT_442486;DAPPUDRAFT_442487;DAPPUDRAFT_442488;DAPPUDRAFT_442490;DAPPUDRAFT_442491;DAPPUDRAFT_442492;DAPPUDRAFT_442493;DAPPUDRAFT_442495
7337,Dapma7bEVm007097,FBgn0045866,TMED10,DAPPUDRAFT_222816
7338,Dapma7bEVm030730,FBgn0030995,CYB5RL,DAPPUDRAFT_34463
7339,Dapma7bEVm014505,,,
7340,Dapma7bEVm013499,FBgn0037782;FBgn0037783;FBgn0051410,NPC2,
7341,Dapma7bEVm004295,,,DAPPUDRAFT_328375
7342,Dapma7bEVm010485,,,DAPPUDRAFT_243152;DAPPUDRAFT_325959
7343,Dapma7bEVm016800,,,
7344,Dapma7bEVm005348,FBgn0029514,MALSU1,DAPPUDRAFT_300153;DAPPUDRAFT_310628
7345,Dapma7bEVm027399,FBgn0032689;FBgn0036279;FBgn0051547;FBgn0261794,SLC12A1;SLC12A2;SLC12A3,DAPPUDRAFT_203293;DAPPUDRAFT_252082;DAPPUDRAFT_307471;DAPPUDRAFT_319556;DAPPUDRAFT_319627;DAPPUDRAFT_319643;DAPPUDRAFT_324595;DAPPUDRAFT_324602;DAPPUDRAFT_324603;DAPPUDRAFT_324617
7346,Dapma7bEVm025374,,,
7347,Dapma7bEVm010540,FBgn0011288;FBgn0266720,SNAP23;SNAP25,DAPPUDRAFT_200536
7348,Dapma7bEVm010188,FBgn0010808,CHCHD3,DAPPUDRAFT_220118
7349,Dapma7bEVm002110,,,DAPPUDRAFT_234543
7350,Dapma7bEVm026887,,,
7351,Dapma7bEVm004523,FBgn0024510,CDAN1,DAPPUDRAFT_326470
7352,Dapma7bEVm014607,,,
7353,Dapma7bEVm016594,,,
7354,Dapma7bEVm001250,,AGPAT5,DAPPUDRAFT_53322
7355,Dapma7bEVm008652,FBgn0035607;FBgn0036203;FBgn0036226;FBgn0036227;FBgn0036228;FBgn0036229;FBgn0036230;FBgn0036361;FBgn0036362;FBgn0036363;FBgn0036940;FBgn0051077;FBgn0053265;FBgn0264488,LOC105373985;LOC105375809,DAPPUDRAFT_303857
7356,Dapma7bEVm021972,,,
7357,Dapma7bEVm016582,,,
7358,Dapma7bEVm026934,,,
7359,Dapma7bEVm016815,,,
7360,Dapma7bEVm015889,,,
7361,Dapma7bEVm016822,,,
7362,Dapma7bEVm013161,,,
7363,Dapma7bEVm012086,FBgn0044823,CDC42SE1;CDC42SE2,DAPPUDRAFT_326794
7364,Dapma7bEVm022388,,,
7365,Dapma7bEVm018442,,,DAPPUDRAFT_111069
7366,Dapma7bEVm017348,,,DAPPUDRAFT_100186;DAPPUDRAFT_105047;DAPPUDRAFT_105323;DAPPUDRAFT_105352;DAPPUDRAFT_105354;DAPPUDRAFT_105366;DAPPUDRAFT_105439;DAPPUDRAFT_112759;DAPPUDRAFT_116382;DAPPUDRAFT_119938;DAPPUDRAFT_246368;DAPPUDRAFT_257015;DAPPUDRAFT_257512;DAPPUDRAFT_262721;DAPPUDRAFT_320675;DAPPUDRAFT_320749
7367,Dapma7bEVm018349,FBgn0011726;FBgn0030951,CFL1;CFL2;DSTN;HEL-S-15;HEL32,
7368,Dapma7bEVm016308,,,
7369,Dapma7bEVm013893,,,
7370,Dapma7bEVm012588,,,
7371,Dapma7bEVm019405,,,
7372,Dapma7bEVm019037,,POGK,
7373,Dapma7bEVm011847,,,
7374,Dapma7bEVm021790,,,DAPPUDRAFT_235479
7375,Dapma7bEVm021596,,,
7376,Dapma7bEVm021283,FBgn0034138,RPS15,
7377,Dapma7bEVm021066,FBgn0015756,RPL9;RPL9P7;RPL9P8;RPL9P9,
7378,Dapma7bEVm020504,FBgn0033912,RPS23,
7379,Dapma7bEVm021960,FBgn0003279,RPL4,
7380,Dapma7bEVm021282,FBgn0004432;FBgn0028382;FBgn0036415,HEL-S-69p;LOC105371242;PPIA;PPIAL4A;PPIAL4C;PPIAL4D;PPIAL4E;PPIAL4F;PPIAL4G;PPIE;PPIF;PPIase,
7381,Dapma7bEVm021217,,RPS5,
7382,Dapma7bEVm022307,,,
7383,Dapma7bEVm021884,,,
7384,Dapma7bEVm020513,,,
7385,Dapma7bEVm021839,,,
7386,Dapma7bEVm020801,FBgn0011284,RPS4X;RPS4Y1;RPS4Y2,
7387,Dapma7bEVm025534,,,DAPPUDRAFT_114910;DAPPUDRAFT_256263
7388,Dapma7bEVm020604,,,DAPPUDRAFT_301147
7389,Dapma7bEVm019894,FBgn0011284,RPS4X;RPS4Y1;RPS4Y2,
7390,Dapma7bEVm016953,,,
7391,Dapma7bEVm024515,,,DAPPUDRAFT_113158
7392,Dapma7bEVm019373,,,DAPPUDRAFT_328954
7393,Dapma7bEVm018413,,,
7394,Dapma7bEVm015305,,,
7395,Dapma7bEVm018960,,DNAJC4,
7396,Dapma7bEVm022401,,,
7397,Dapma7bEVm013393,,,
